[ 2026-03-28 13:47:30 | node_38 | INFO ] InMemoryServer stopped at node_38
[ 2026-03-28 13:47:30 | node_39 | INFO ] Stopping node...
[ 2026-03-28 13:47:30 | node_39 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:30 | node_39 | INFO ] InMemoryServer stopped at node_39
[ 2026-03-28 13:47:30 | node_40 | INFO ] Stopping node...
[ 2026-03-28 13:47:30 | node_40 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:30 | node_40 | INFO ] InMemoryServer stopped at node_40
[ 2026-03-28 13:47:30 | node_41 | INFO ] Stopping node...
[ 2026-03-28 13:47:30 | node_41 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:30 | node_41 | INFO ] InMemoryServer stopped at node_41
[ 2026-03-28 13:47:30 | node_42 | INFO ] Stopping node...
[ 2026-03-28 13:47:30 | node_42 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:30 | node_42 | INFO ] InMemoryServer stopped at node_42
[ 2026-03-28 13:47:30 | node_43 | INFO ] Stopping node...
[ 2026-03-28 13:47:30 | node_43 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:31 | node_43 | INFO ] InMemoryServer stopped at node_43
[ 2026-03-28 13:47:31 | node_44 | INFO ] Stopping node...
[ 2026-03-28 13:47:31 | node_44 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:31 | node_44 | INFO ] InMemoryServer stopped at node_44
[ 2026-03-28 13:47:31 | node_45 | INFO ] Stopping node...
[ 2026-03-28 13:47:31 | node_45 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:31 | node_45 | INFO ] InMemoryServer stopped at node_45
[ 2026-03-28 13:47:31 | node_46 | INFO ] Stopping node...
[ 2026-03-28 13:47:31 | node_46 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:31 | node_46 | INFO ] InMemoryServer stopped at node_46
[ 2026-03-28 13:47:31 | node_47 | INFO ] Stopping node...
[ 2026-03-28 13:47:31 | node_47 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:31 | node_47 | INFO ] InMemoryServer stopped at node_47
[ 2026-03-28 13:47:31 | node_48 | INFO ] Stopping node...
[ 2026-03-28 13:47:31 | node_48 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:31 | node_48 | INFO ] InMemoryServer stopped at node_48
[ 2026-03-28 13:47:31 | node_49 | INFO ] Stopping node...
[ 2026-03-28 13:47:31 | node_49 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 13:47:31 | node_49 | INFO ] InMemoryServer stopped at node_49
