[ 2026-03-28 15:24:14 | node_15 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:14 | node_15 | INFO ] InMemoryServer stopped at node_15
[ 2026-03-28 15:24:15 | node_16 | INFO ] Stopping node...
[ 2026-03-28 15:24:15 | node_16 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:15 | node_16 | INFO ] InMemoryServer stopped at node_16
[ 2026-03-28 15:24:15 | node_17 | INFO ] Stopping node...
[ 2026-03-28 15:24:15 | node_17 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:15 | node_17 | INFO ] InMemoryServer stopped at node_17
[ 2026-03-28 15:24:15 | node_18 | INFO ] Stopping node...
[ 2026-03-28 15:24:15 | node_18 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:15 | node_18 | INFO ] InMemoryServer stopped at node_18
[ 2026-03-28 15:24:15 | node_19 | INFO ] Stopping node...
[ 2026-03-28 15:24:15 | node_19 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:15 | node_19 | INFO ] InMemoryServer stopped at node_19
[ 2026-03-28 15:24:15 | node_20 | INFO ] Stopping node...
[ 2026-03-28 15:24:15 | node_20 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:16 | node_20 | INFO ] InMemoryServer stopped at node_20
[ 2026-03-28 15:24:16 | node_21 | INFO ] Stopping node...
[ 2026-03-28 15:24:16 | node_21 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:16 | node_21 | INFO ] InMemoryServer stopped at node_21
[ 2026-03-28 15:24:16 | node_22 | INFO ] Stopping node...
[ 2026-03-28 15:24:16 | node_22 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:16 | node_22 | INFO ] InMemoryServer stopped at node_22
[ 2026-03-28 15:24:16 | node_23 | INFO ] Stopping node...
[ 2026-03-28 15:24:16 | node_23 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:16 | node_23 | INFO ] InMemoryServer stopped at node_23
[ 2026-03-28 15:24:16 | node_24 | INFO ] Stopping node...
[ 2026-03-28 15:24:16 | node_24 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:16 | node_24 | INFO ] InMemoryServer stopped at node_24
[ 2026-03-28 15:24:16 | node_25 | INFO ] Stopping node...
[ 2026-03-28 15:24:17 | node_25 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:17 | node_25 | INFO ] InMemoryServer stopped at node_25
[ 2026-03-28 15:24:17 | node_26 | INFO ] Stopping node...
[ 2026-03-28 15:24:17 | node_26 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:17 | node_26 | INFO ] InMemoryServer stopped at node_26
[ 2026-03-28 15:24:17 | node_27 | INFO ] Stopping node...
[ 2026-03-28 15:24:17 | node_27 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:17 | node_27 | INFO ] InMemoryServer stopped at node_27
[ 2026-03-28 15:24:17 | node_28 | INFO ] Stopping node...
[ 2026-03-28 15:24:17 | node_28 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:17 | node_28 | INFO ] InMemoryServer stopped at node_28
[ 2026-03-28 15:24:17 | node_29 | INFO ] Stopping node...
[ 2026-03-28 15:24:17 | node_29 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:17 | node_29 | INFO ] InMemoryServer stopped at node_29
[ 2026-03-28 15:24:17 | node_30 | INFO ] Stopping node...
[ 2026-03-28 15:24:18 | node_30 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:18 | node_30 | INFO ] InMemoryServer stopped at node_30
[ 2026-03-28 15:24:18 | node_31 | INFO ] Stopping node...
[ 2026-03-28 15:24:18 | node_31 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:18 | node_31 | INFO ] InMemoryServer stopped at node_31
[ 2026-03-28 15:24:18 | node_32 | INFO ] Stopping node...
[ 2026-03-28 15:24:18 | node_32 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:18 | node_32 | INFO ] InMemoryServer stopped at node_32
[ 2026-03-28 15:24:19 | node_33 | INFO ] Stopping node...
[ 2026-03-28 15:24:19 | node_33 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:19 | node_33 | INFO ] InMemoryServer stopped at node_33
[ 2026-03-28 15:24:19 | node_34 | INFO ] Stopping node...
[ 2026-03-28 15:24:19 | node_34 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:19 | node_34 | INFO ] InMemoryServer stopped at node_34
[ 2026-03-28 15:24:19 | node_35 | INFO ] Stopping node...
[ 2026-03-28 15:24:19 | node_35 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:19 | node_35 | INFO ] InMemoryServer stopped at node_35
[ 2026-03-28 15:24:19 | node_36 | INFO ] Stopping node...
[ 2026-03-28 15:24:19 | node_36 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:19 | node_36 | INFO ] InMemoryServer stopped at node_36
[ 2026-03-28 15:24:19 | node_37 | INFO ] Stopping node...
[ 2026-03-28 15:24:19 | node_37 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:19 | node_37 | INFO ] InMemoryServer stopped at node_37
[ 2026-03-28 15:24:19 | node_38 | INFO ] Stopping node...
[ 2026-03-28 15:24:20 | node_38 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:20 | node_38 | INFO ] InMemoryServer stopped at node_38
[ 2026-03-28 15:24:20 | node_39 | INFO ] Stopping node...
[ 2026-03-28 15:24:20 | node_39 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:20 | node_39 | INFO ] InMemoryServer stopped at node_39
[ 2026-03-28 15:24:20 | node_40 | INFO ] Stopping node...
[ 2026-03-28 15:24:20 | node_40 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:20 | node_40 | INFO ] InMemoryServer stopped at node_40
[ 2026-03-28 15:24:20 | node_41 | INFO ] Stopping node...
[ 2026-03-28 15:24:20 | node_41 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:20 | node_41 | INFO ] InMemoryServer stopped at node_41
[ 2026-03-28 15:24:20 | node_42 | INFO ] Stopping node...
[ 2026-03-28 15:24:20 | node_42 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:20 | node_42 | INFO ] InMemoryServer stopped at node_42
[ 2026-03-28 15:24:20 | node_43 | INFO ] Stopping node...
[ 2026-03-28 15:24:20 | node_43 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-28 15:24:20 | node_43 | INFO ] InMemoryServer stopped at node_43
