[ 2025-12-18 22:53:34 | node_13 | INFO ] 🧩 Model added (3/5) from ['node_14']
[ 2025-12-18 22:53:34 | node_12 | INFO ] 🧩 Model added (2/5) from ['node_11']
[ 2025-12-18 22:53:34 | node | INFO ] 🧩 Model added (3/5) from ['node_14']
[ 2025-12-18 22:53:34 | node_9 | INFO ] 🧩 Model added (2/5) from ['node_11']
[ 2025-12-18 22:53:35 | node_12 | INFO ] 🧩 Model added (3/5) from ['node_14']
[ 2025-12-18 22:53:35 | node_13 | INFO ] 🧩 Model added (4/5) from ['node_11']
[ 2025-12-18 22:53:35 | node_1 | INFO ] 🧩 Model added (4/5) from ['node_14']
[ 2025-12-18 22:53:35 | node_8 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_7', 'node_9', 'node_6', 'node_10']
[ 2025-12-18 22:53:35 | node_7 | INFO ] 🧩 Model added (3/5) from ['node_8']
[ 2025-12-18 22:53:35 | node_9 | INFO ] 🧩 Model added (3/5) from ['node_8']
[ 2025-12-18 22:53:35 | node_6 | INFO ] 🧩 Model added (2/5) from ['node_8']
[ 2025-12-18 22:53:35 | node_10 | INFO ] 🧩 Model added (4/5) from ['node_8']
[ 2025-12-18 22:53:35 | node_7 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_6', 'node_8', 'node_5', 'node_9']
[ 2025-12-18 22:53:35 | node_6 | INFO ] 🧩 Model added (3/5) from ['node_7']
[ 2025-12-18 22:53:35 | node_8 | INFO ] 🧩 Model added (3/5) from ['node_7']
[ 2025-12-18 22:53:35 | node | INFO ] 📤 Sending model to 4 direct neighbors: ['node_1', 'node_14', 'node_2', 'node_13']
[ 2025-12-18 22:53:35 | node_1 | INFO ] 🧩 Model added (5/5) from ['node']
[ 2025-12-18 22:53:35 | node_13 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_12', 'node_14', 'node_11', 'node']
[ 2025-12-18 22:53:35 | node_5 | INFO ] 🧩 Model added (4/5) from ['node_7']
[ 2025-12-18 22:53:35 | node_12 | INFO ] 🧩 Model added (4/5) from ['node_13']
[ 2025-12-18 22:53:35 | node_14 | INFO ] 🧩 Model added (3/5) from ['node']
