[ 2025-12-19 00:24:26 | node_4 | INFO ] 🧩 Model added (2/5) from ['node_2']
[ 2025-12-19 00:24:26 | node_1 | INFO ] 📤 Sending model to 4 direct neighbors: ['node', 'node_2', 'node_3', 'node_14']
[ 2025-12-19 00:24:26 | node | INFO ] 🧩 Model added (3/5) from ['node_1']
[ 2025-12-19 00:24:26 | node_2 | INFO ] 🧩 Model added (2/5) from ['node_1']
[ 2025-12-19 00:24:26 | node_3 | INFO ] 🧩 Model added (3/5) from ['node_1']
[ 2025-12-19 00:24:26 | node_14 | INFO ] 🧩 Model added (2/5) from ['node_1']
[ 2025-12-19 00:24:26 | node_14 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_13', 'node', 'node_12', 'node_1']
[ 2025-12-19 00:24:26 | node_13 | INFO ] 🧩 Model added (2/5) from ['node_14']
[ 2025-12-19 00:24:26 | node | INFO ] 🧩 Model added (4/5) from ['node_14']
[ 2025-12-19 00:24:26 | node_12 | INFO ] 🧩 Model added (2/5) from ['node_14']
[ 2025-12-19 00:24:26 | node_1 | INFO ] 🧩 Model added (3/5) from ['node_14']
[ 2025-12-19 00:24:27 | node_3 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_2', 'node_4', 'node_1', 'node_5']
[ 2025-12-19 00:24:27 | node_2 | INFO ] 🧩 Model added (3/5) from ['node_3']
[ 2025-12-19 00:24:27 | node_4 | INFO ] 🧩 Model added (3/5) from ['node_3']
[ 2025-12-19 00:24:27 | node_1 | INFO ] 🧩 Model added (4/5) from ['node_3']
[ 2025-12-19 00:24:27 | node_5 | INFO ] 🧩 Model added (2/5) from ['node_3']
[ 2025-12-19 00:24:27 | node | INFO ] 📤 Sending model to 4 direct neighbors: ['node_1', 'node_14', 'node_2', 'node_13']
[ 2025-12-19 00:24:27 | node_1 | INFO ] 🧩 Model added (5/5) from ['node']
[ 2025-12-19 00:24:27 | node_1 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:27 | node_14 | INFO ] 🧩 Model added (3/5) from ['node']
[ 2025-12-19 00:24:27 | node_7 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_6', 'node_8', 'node_5', 'node_9']
[ 2025-12-19 00:24:27 | node_6 | INFO ] 🧩 Model added (2/5) from ['node_7']
[ 2025-12-19 00:24:27 | node_1 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:27 | node_2 | INFO ] 🧩 Model added (4/5) from ['node']
[ 2025-12-19 00:24:27 | node_8 | INFO ] 🧩 Model added (2/5) from ['node_7']
[ 2025-12-19 00:24:27 | node_13 | INFO ] 🧩 Model added (3/5) from ['node']
[ 2025-12-19 00:24:27 | node_5 | INFO ] 🧩 Model added (3/5) from ['node_7']
[ 2025-12-19 00:24:27 | node_9 | INFO ] 🧩 Model added (2/5) from ['node_7']
[ 2025-12-19 00:24:28 | node_4 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_3', 'node_5', 'node_2', 'node_6']
[ 2025-12-19 00:24:28 | node_3 | INFO ] 🧩 Model added (4/5) from ['node_4']
[ 2025-12-19 00:24:28 | node_5 | INFO ] 🧩 Model added (4/5) from ['node_4']
[ 2025-12-19 00:24:28 | node_2 | INFO ] 🧩 Model added (5/5) from ['node_4']
[ 2025-12-19 00:24:28 | node_2 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:28 | node_6 | INFO ] 🧩 Model added (3/5) from ['node_4']
[ 2025-12-19 00:24:28 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:29 | node_8 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_7', 'node_9', 'node_6', 'node_10']
[ 2025-12-19 00:24:29 | node_7 | INFO ] 🧩 Model added (2/5) from ['node_8']
[ 2025-12-19 00:24:29 | node_9 | INFO ] 🧩 Model added (3/5) from ['node_8']
[ 2025-12-19 00:24:29 | node_6 | INFO ] 🧩 Model added (4/5) from ['node_8']
[ 2025-12-19 00:24:29 | node_10 | INFO ] 🧩 Model added (2/5) from ['node_8']
[ 2025-12-19 00:24:29 | node_6 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_5', 'node_7', 'node_4', 'node_8']
[ 2025-12-19 00:24:29 | node_5 | INFO ] 🧩 Model added (5/5) from ['node_6']
[ 2025-12-19 00:24:29 | node_7 | INFO ] 🧩 Model added (3/5) from ['node_6']
[ 2025-12-19 00:24:29 | node_11 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_10', 'node_12', 'node_9', 'node_13']
[ 2025-12-19 00:24:29 | node_4 | INFO ] 🧩 Model added (4/5) from ['node_6']
[ 2025-12-19 00:24:29 | node_10 | INFO ] 🧩 Model added (3/5) from ['node_11']
[ 2025-12-19 00:24:29 | node_8 | INFO ] 🧩 Model added (3/5) from ['node_6']
[ 2025-12-19 00:24:29 | node_12 | INFO ] 🧩 Model added (3/5) from ['node_11']
[ 2025-12-19 00:24:29 | node_9 | INFO ] 🧩 Model added (4/5) from ['node_11']
[ 2025-12-19 00:24:29 | node_13 | INFO ] 🧩 Model added (4/5) from ['node_11']
[ 2025-12-19 00:24:29 | node_13 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_12', 'node_14', 'node_11', 'node']
[ 2025-12-19 00:24:29 | node_12 | INFO ] 🧩 Model added (4/5) from ['node_13']
[ 2025-12-19 00:24:29 | node_14 | INFO ] 🧩 Model added (4/5) from ['node_13']
[ 2025-12-19 00:24:29 | node_12 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_11', 'node_13', 'node_10', 'node_14']
[ 2025-12-19 00:24:29 | node_11 | INFO ] 🧩 Model added (2/5) from ['node_13']
[ 2025-12-19 00:24:29 | node_11 | INFO ] 🧩 Model added (3/5) from ['node_12']
[ 2025-12-19 00:24:29 | node | INFO ] 🧩 Model added (5/5) from ['node_13']
[ 2025-12-19 00:24:29 | node | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:29 | node_13 | INFO ] 🧩 Model added (5/5) from ['node_12']
[ 2025-12-19 00:24:29 | node_13 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:29 | node_10 | INFO ] 🧩 Model added (4/5) from ['node_12']
[ 2025-12-19 00:24:29 | node_14 | INFO ] 🧩 Model added (5/5) from ['node_12']
[ 2025-12-19 00:24:29 | node_14 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:29 | node | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:29 | node_13 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:30 | node_14 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:30 | node_5 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_4', 'node_6', 'node_3', 'node_7']
[ 2025-12-19 00:24:30 | node_9 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_8', 'node_10', 'node_7', 'node_11']
[ 2025-12-19 00:24:30 | node_4 | INFO ] 🧩 Model added (5/5) from ['node_5']
[ 2025-12-19 00:24:30 | node_4 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:30 | node_8 | INFO ] 🧩 Model added (4/5) from ['node_9']
[ 2025-12-19 00:24:30 | node_10 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_9', 'node_11', 'node_8', 'node_12']
[ 2025-12-19 00:24:30 | node_6 | INFO ] 🧩 Model added (5/5) from ['node_5']
[ 2025-12-19 00:24:30 | node_6 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:30 | node_10 | INFO ] 🧩 Model added (5/5) from ['node_9']
[ 2025-12-19 00:24:30 | node_9 | INFO ] 🧩 Model added (5/5) from ['node_10']
[ 2025-12-19 00:24:30 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:30 | node_3 | INFO ] 🧩 Model added (5/5) from ['node_5']
[ 2025-12-19 00:24:30 | node_3 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:30 | node_7 | INFO ] 🧩 Model added (4/5) from ['node_9']
[ 2025-12-19 00:24:30 | node_11 | INFO ] 🧩 Model added (4/5) from ['node_10']
[ 2025-12-19 00:24:30 | node_11 | INFO ] 🧩 Model added (5/5) from ['node_9']
[ 2025-12-19 00:24:30 | node_7 | INFO ] 🧩 Model added (5/5) from ['node_5']
[ 2025-12-19 00:24:30 | node_11 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:30 | node_8 | INFO ] 🧩 Model added (5/5) from ['node_10']
[ 2025-12-19 00:24:30 | node_7 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:30 | node_6 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:30 | node_8 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:30 | node_5 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:30 | node_9 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:30 | node_12 | INFO ] 🧩 Model added (5/5) from ['node_10']
[ 2025-12-19 00:24:30 | node_12 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:30 | node_10 | INFO ] 🧠 Aggregating models.
[ 2025-12-19 00:24:30 | node_3 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:30 | node_7 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:30 | node_11 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:30 | node_8 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:30 | node_9 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:30 | node_5 | INFO ] 🗣️ Gossiping aggregated model.
[ 2025-12-19 00:24:30 | node_5 | INFO ] 🤫 Gossip finished.
[ 2025-12-19 00:24:30 | node_5 | INFO ] 🎉 Round 40 of 50 finished.
[ 2025-12-19 00:24:30 | node_12 | INFO ] 🗣️ Gossiping aggregated model.
