[ 2026-05-13 19:22:23 | node_6 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_3', 'node_7', 'node_10', 'node_11', 'node_16', 'node_38', 'node_41']
[ 2026-05-13 19:22:23 | node_45 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:22:23 | node_45 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.45690762996673584, 'test_acc': 0.9599999785423279, 'test_precision': 0.9558164477348328, 'test_recall': 0.9600613117218018, 'test_f1': 0.9574073553085327, 'communication_cost': 15053584}
[ 2026-05-13 19:22:23 | node_3 | INFO ] 🧩 Model added for round 46 (3/8) from ['node_6']
[ 2026-05-13 19:22:24 | node_45 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:22:24 | node_21 | INFO ] 🧩 Model added for round 46 (6/12) from ['node_14']
[ 2026-05-13 19:22:24 | node_7 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:22:24 | node_7 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:22:25 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2893555760383606, 'test_acc': 0.9599999785423279, 'test_precision': 0.967133641242981, 'test_recall': 0.9556432962417603, 'test_f1': 0.9595841765403748, 'communication_cost': 30107168}
[ 2026-05-13 19:22:25 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:22:25 | node_10 | INFO ] 🧩 Model added for round 46 (6/10) from ['node_6']
[ 2026-05-13 19:22:26 | node_26 | INFO ] 🧩 Model added for round 46 (4/8) from ['node_14']
[ 2026-05-13 19:22:26 | node_45 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:22:26 | node_45 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 19:22:26 | node_45 | INFO ] ♻️ Proactively processing 2 early models for round 46.
[ 2026-05-13 19:22:26 | node_45 | INFO ] 🧩 Model added for round 46 (1/5) from ['node_19']
[ 2026-05-13 19:22:26 | node_45 | INFO ] 🧩 Model added for round 46 (2/5) from ['node_34']
[ 2026-05-13 19:22:26 | node_45 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 19:22:27 | node_45 | INFO ] 🎓 Training step done.
[ 2026-05-13 19:22:27 | node_45 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 19:22:27 | node_20 | INFO ] 📤 Sending model to 4 direct neighbors: ['node_5', 'node_17', 'node_38', 'node_46']
[ 2026-05-13 19:22:27 | node_45 | INFO ] ✅ [FORCE] Local model added for round 46. (3/5)
[ 2026-05-13 19:22:28 | node_16 | INFO ] 🧩 Model added for round 46 (9/13) from ['node_6']
[ 2026-05-13 19:22:28 | node_5 | INFO ] 🧩 Model added for round 46 (7/12) from ['node_20']
[ 2026-05-13 19:22:28 | node_35 | INFO ] 🧩 Model added for round 46 (3/8) from ['node_14']
[ 2026-05-13 19:22:29 | node_11 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:22:29 | node_11 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
