[ 2026-05-13 11:11:39 | node_14 | INFO ] 🧩 Model added for round 46 (1/12) from ['node_7']
[ 2026-05-13 11:11:39 | node_14 | INFO ] 🧩 Model added for round 46 (2/12) from ['node_47']
[ 2026-05-13 11:11:39 | node_35 | INFO ] ♻️ Proactively processing 5 early models for round 46.
[ 2026-05-13 11:11:39 | node_14 | INFO ] 🧩 Model added for round 46 (3/12) from ['node_20']
[ 2026-05-13 11:11:39 | node_48 | INFO ] 🧩 Model added for round 46 (4/7) from ['node_31']
[ 2026-05-13 11:11:39 | node_14 | INFO ] 🧩 Model added for round 46 (4/12) from ['node_15']
[ 2026-05-13 11:11:39 | node_35 | INFO ] 🧩 Model added for round 46 (1/9) from ['node_37']
[ 2026-05-13 11:11:39 | node_35 | INFO ] 🧩 Model added for round 46 (2/9) from ['node_27']
[ 2026-05-13 11:11:39 | node_14 | INFO ] 🧩 Model added for round 46 (5/12) from ['node_26']
[ 2026-05-13 11:11:39 | node_35 | INFO ] 🧩 Model added for round 46 (3/9) from ['node_32']
[ 2026-05-13 11:11:40 | node_14 | INFO ] 🧩 Model added for round 46 (6/12) from ['node_6']
[ 2026-05-13 11:11:40 | node_35 | INFO ] 🧩 Model added for round 46 (4/9) from ['node_13']
[ 2026-05-13 11:11:40 | node_14 | INFO ] 🧩 Model added for round 46 (7/12) from ['node_31']
[ 2026-05-13 11:11:40 | node_35 | INFO ] 🧩 Model added for round 46 (5/9) from ['node_30']
[ 2026-05-13 11:11:40 | node_14 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 11:11:40 | node_35 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 11:11:40 | node_46 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 11:11:40 | node_46 | INFO ] 🔬 Evaluating...
[ 2026-05-13 11:11:40 | node_14 | INFO ] 🎓 Training step done.
[ 2026-05-13 11:11:40 | node_35 | INFO ] 🎓 Training step done.
[ 2026-05-13 11:11:40 | node_14 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 11:11:40 | node_35 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 11:11:40 | node_14 | INFO ] ✅ [FORCE] Local model added for round 46. (8/12)
[ 2026-05-13 11:11:40 | node_46 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1474558413028717, 'test_acc': 0.9750000238418579, 'test_precision': 0.9742589592933655, 'test_recall': 0.9738919734954834, 'test_f1': 0.9730383157730103, 'communication_cost': 30107168}
[ 2026-05-13 11:11:41 | node_35 | INFO ] ✅ [FORCE] Local model added for round 46. (6/9)
[ 2026-05-13 11:11:41 | node_18 | INFO ] 🧩 Model added for round 46 (4/5) from ['node_3']
[ 2026-05-13 11:11:41 | node_46 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 11:11:41 | node_16 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 11:11:41 | node_16 | INFO ] 🔬 Evaluating...
[ 2026-05-13 11:11:41 | node_45 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_6', 'node_27', 'node_28', 'node_31', 'node_38']
[ 2026-05-13 11:11:41 | node_36 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 11:11:41 | node_25 | INFO ] 🧩 Model added for round 46 (7/10) from ['node_10']
[ 2026-05-13 11:11:41 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-05-13 11:11:41 | node_16 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.14813916385173798, 'test_acc': 0.9649999737739563, 'test_precision': 0.9649350643157959, 'test_recall': 0.9617764353752136, 'test_f1': 0.9619652032852173, 'communication_cost': 37633960}
[ 2026-05-13 11:11:41 | node_16 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 11:11:42 | node_6 | INFO ] 🧩 Model added for round 46 (8/11) from ['node_45']
[ 2026-05-13 11:11:42 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1728670299053192, 'test_acc': 0.9649999737739563, 'test_precision': 0.962242841720581, 'test_recall': 0.9657041430473328, 'test_f1': 0.9633620381355286, 'communication_cost': 30107168}
[ 2026-05-13 11:11:42 | node_36 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 11:11:43 | node_29 | INFO ] 🧩 Model added for round 46 (5/6) from ['node_3']
[ 2026-05-13 11:11:43 | node_26 | INFO ] 🧩 Model added for round 46 (5/10) from ['node_10']
[ 2026-05-13 11:11:44 | node_27 | INFO ] 🧩 Model added for round 46 (5/8) from ['node_45']
[ 2026-05-13 11:11:44 | node_33 | INFO ] 🧩 Model added for round 46 (4/6) from ['node_3']
[ 2026-05-13 11:11:45 | node_27 | INFO ] 🧩 Model added for round 46 (6/8) from ['node_10']
[ 2026-05-13 11:11:45 | node_31 | INFO ] 🧩 Model added for round 46 (6/10) from ['node_45']
[ 2026-05-13 11:11:46 | node_14 | INFO ] 📤 Sending model to 11 direct neighbors: ['node_2', 'node_6', 'node_7', 'node_12', 'node_15', 'node_20', 'node_26', 'node_31', 'node_35', 'node_38', 'node_47']
[ 2026-05-13 11:11:46 | node_46 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 11:11:46 | node_35 | INFO ] 📤 Sending model to 8 direct neighbors: ['node', 'node_13', 'node_14', 'node_17', 'node_27', 'node_30', 'node_32', 'node_37']
[ 2026-05-13 11:11:46 | node_46 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 11:11:46 | node_46 | INFO ] ♻️ Proactively processing 5 early models for round 46.
[ 2026-05-13 11:11:46 | node_46 | INFO ] 🧩 Model added for round 46 (1/9) from ['node_9']
[ 2026-05-13 11:11:46 | node_46 | INFO ] 🧩 Model added for round 46 (2/9) from ['node_1']
[ 2026-05-13 11:11:46 | node_46 | INFO ] 🧩 Model added for round 46 (3/9) from ['node_49']
[ 2026-05-13 11:11:46 | node_46 | INFO ] 🧩 Model added for round 46 (4/9) from ['node_15']
[ 2026-05-13 11:11:46 | node_46 | INFO ] 🧩 Model added for round 46 (5/9) from ['node_3']
[ 2026-05-13 11:11:46 | node_6 | INFO ] 🧩 Model added for round 46 (9/11) from ['node_14']
[ 2026-05-13 11:11:46 | node_46 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 11:11:47 | node_13 | INFO ] 🧩 Model added for round 46 (6/10) from ['node_35']
[ 2026-05-13 11:11:47 | node_30 | INFO ] 🧩 Model added for round 46 (6/11) from ['node_10']
[ 2026-05-13 11:11:47 | node_36 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 11:11:47 | node_36 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 11:11:47 | node_36 | INFO ] ♻️ Proactively processing 4 early models for round 46.
[ 2026-05-13 11:11:47 | node_46 | INFO ] 🎓 Training step done.
