[ 2026-05-13 06:00:50 | node_43 | INFO ] 🧩 Model added for round 46 (9/12) from ['node_25']
[ 2026-05-13 06:00:50 | node_34 | INFO ] 🧩 Model added for round 46 (9/11) from ['node_30']
[ 2026-05-13 06:00:50 | node_23 | INFO ] 🧩 Model added for round 46 (8/8) from ['node_39']
[ 2026-05-13 06:00:51 | node_23 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:51 | node_33 | INFO ] 🧩 Model added for round 46 (7/7) from ['node_43']
[ 2026-05-13 06:00:52 | node_25 | INFO ] 🧩 Model added for round 46 (12/13) from ['node_39']
[ 2026-05-13 06:00:52 | node_37 | INFO ] 🧩 Model added for round 46 (9/10) from ['node_30']
[ 2026-05-13 06:00:52 | node_33 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:52 | node_44 | INFO ] 🧩 Model added for round 46 (8/9) from ['node_25']
[ 2026-05-13 06:00:52 | node_23 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:53 | node_34 | INFO ] 🧩 Model added for round 46 (10/11) from ['node_43']
[ 2026-05-13 06:00:53 | node_33 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:53 | node_38 | INFO ] 🧩 Model added for round 46 (8/8) from ['node_30']
[ 2026-05-13 06:00:54 | node_27 | INFO ] 🧩 Model added for round 46 (7/7) from ['node_39']
[ 2026-05-13 06:00:54 | node_38 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:54 | node_27 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:55 | node_27 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:55 | node_37 | INFO ] 🧩 Model added for round 46 (10/10) from ['node_43']
[ 2026-05-13 06:00:55 | node_38 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:55 | node_40 | INFO ] 🧩 Model added for round 46 (8/8) from ['node_30']
[ 2026-05-13 06:00:55 | node_32 | INFO ] 🧩 Model added for round 46 (11/11) from ['node_39']
[ 2026-05-13 06:00:56 | node_39 | INFO ] 🧩 Model added for round 46 (13/14) from ['node_43']
[ 2026-05-13 06:00:57 | node_43 | INFO ] 🧩 Model added for round 46 (10/12) from ['node_30']
[ 2026-05-13 06:00:57 | node_42 | INFO ] 🧩 Model added for round 46 (7/7) from ['node_39']
[ 2026-05-13 06:00:57 | node_40 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:57 | node_37 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:57 | node_32 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:57 | node_42 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:00:58 | node_40 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:58 | node_42 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:58 | node_37 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:58 | node_32 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:00:58 | node_46 | INFO ] 🧩 Model added for round 46 (8/8) from ['node_43']
[ 2026-05-13 06:00:58 | node_43 | INFO ] 🧩 Model added for round 46 (11/12) from ['node_39']
[ 2026-05-13 06:00:59 | node_44 | INFO ] 🧩 Model added for round 46 (9/9) from ['node_30']
[ 2026-05-13 06:01:00 | node_49 | INFO ] 🧩 Model added for round 46 (10/10) from ['node_39']
[ 2026-05-13 06:01:00 | node_46 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:01:00 | node_44 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:01:00 | node_49 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:01:01 | node_46 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:01:01 | node_49 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:01:01 | node_44 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:01:54 | node_29 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 06:01:54 | node_29 | INFO ] 🔬 Evaluating...
[ 2026-05-13 06:01:55 | node_29 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2231644243001938, 'test_acc': 0.9700000286102295, 'test_precision': 0.9695693254470825, 'test_recall': 0.9636569023132324, 'test_f1': 0.9661918878555298, 'communication_cost': 30107168}
[ 2026-05-13 06:01:55 | node_29 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 06:01:57 | node_36 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 06:01:58 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-05-13 06:01:58 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.18296624720096588, 'test_acc': 0.9700000286102295, 'test_precision': 0.9745123982429504, 'test_recall': 0.9733822345733643, 'test_f1': 0.9733026623725891, 'communication_cost': 26343772}
[ 2026-05-13 06:01:58 | node_29 | INFO ] 🎉 Round 47 of 50 finished.
[ 2026-05-13 06:01:58 | node_36 | INFO ] 📢 Broadcasting metrics.
