[ 2026-05-13 18:47:10 | node_43 | INFO ] 🧩 Model added for round 46 (6/9) from ['node_40']
[ 2026-05-13 18:47:10 | node_7 | INFO ] 📤 Sending model to 7 direct neighbors: ['node', 'node_4', 'node_20', 'node_23', 'node_27', 'node_39', 'node_45']
[ 2026-05-13 18:47:10 | node | INFO ] 🧩 Model added for round 46 (8/10) from ['node_7']
[ 2026-05-13 18:47:10 | node_23 | INFO ] 🧩 Model added for round 46 (3/6) from ['node_10']
[ 2026-05-13 18:47:11 | node_22 | INFO ] 🧩 Model added for round 46 (4/6) from ['node_30']
[ 2026-05-13 18:47:11 | node_16 | INFO ] 🧩 Model added for round 46 (5/6) from ['node_39']
[ 2026-05-13 18:47:11 | node_26 | INFO ] 🧩 Model added for round 46 (6/8) from ['node_19']
[ 2026-05-13 18:47:11 | node_35 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 18:47:11 | node_35 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 18:47:11 | node_35 | INFO ] ♻️ Proactively processing 8 early models for round 46.
[ 2026-05-13 18:47:11 | node_35 | INFO ] 🧩 Model added for round 46 (1/12) from ['node_8']
[ 2026-05-13 18:47:11 | node_35 | INFO ] 🧩 Model added for round 46 (2/12) from ['node_26']
[ 2026-05-13 18:47:11 | node_38 | INFO ] 🧩 Model added for round 46 (7/8) from ['node_10']
[ 2026-05-13 18:47:11 | node_35 | INFO ] 🧩 Model added for round 46 (3/12) from ['node_5']
[ 2026-05-13 18:47:12 | node_23 | INFO ] 🧩 Model added for round 46 (4/6) from ['node_30']
[ 2026-05-13 18:47:12 | node_35 | INFO ] 🧩 Model added for round 46 (4/12) from ['node_17']
[ 2026-05-13 18:47:12 | node_21 | INFO ] 🧩 Model added for round 46 (6/9) from ['node_39']
[ 2026-05-13 18:47:12 | node_35 | INFO ] 🧩 Model added for round 46 (5/12) from ['node_4']
[ 2026-05-13 18:47:12 | node_35 | INFO ] 🧩 Model added for round 46 (6/12) from ['node_6']
[ 2026-05-13 18:47:12 | node_35 | INFO ] 🧩 Model added for round 46 (7/12) from ['node_20']
[ 2026-05-13 18:47:12 | node_35 | INFO ] 🧩 Model added for round 46 (8/12) from ['node_40']
[ 2026-05-13 18:47:12 | node_35 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 18:47:12 | node_4 | INFO ] 🧩 Model added for round 46 (13/16) from ['node_7']
[ 2026-05-13 18:47:12 | node_35 | INFO ] 🎓 Training step done.
[ 2026-05-13 18:47:12 | node_35 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 18:47:12 | node_35 | INFO ] ✅ [FORCE] Local model added for round 46. (9/12)
[ 2026-05-13 18:47:13 | node_30 | INFO ] 🧩 Model added for round 46 (7/11) from ['node_19']
[ 2026-05-13 18:47:13 | node_12 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 18:47:13 | node_12 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 18:47:13 | node_23 | INFO ] 🧩 Model added for round 46 (5/6) from ['node_39']
